"Surname","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited","Satisfaction.Score","Card.Type","Point.Earned"
"Hargrave",619,"France","Female",NA,2,0,1,1,1,101348.88,1,2,"DIAMOND",464
"Hill",608,"Spain","Female","41",1,83807.86,1,0,1,112542.58,0,3,"DIAMOND",456
"Onio",502,"France","Female","42",8,159660.8,3,1,0,113931.57,1,3,"DIAMOND",377
"Boni",699,"France","Female","39",1,0,2,0,0,93826.63,0,5,"GOLD",350
NA,850,"Spain","Female","43",2,125510.82,1,1,1,79084.1,0,5,"GOLD",425
"Chu",645,"Spain","Male","44",8,113755.78,2,1,0,149756.71,1,5,"DIAMOND",484
"Bartlett",822,"France","Male","50",7,0,2,1,1,10062.8,0,2,"SILVER",206
"Obinna",376,"Germany","Female","29",4,115046.74,4,1,0,119346.88,1,2,"DIAMOND",282
"He",501,"France","Male","44",4,142051.07,2,0,1,74940.5,0,3,"GOLD",251
"H?",684,"France","Male","27",2,134603.88,1,1,1,71725.73,0,3,"GOLD",342
"Bearce",528,"France","Male","31",6,102016.72,2,0,0,80181.12,0,3,"GOLD",264
"Andrews",497,"Spain","Male","24",3,0,2,1,0,76390.01,0,3,"GOLD",249
"Kay",476,"France","Female","34",10,0,2,1,0,26260.98,0,3,"SILVER",119
"Chin",549,"France","Female","25",5,0,2,0,0,190857.79,0,3,"PLATINUM",549
"Scott",635,"Spain","Female","35",7,0,2,1,1,65951.65,0,2,"GOLD",318
"Goforth",616,"Germany","Male","45",3,143129.41,2,0,1,64327.26,0,5,"GOLD",308
"Romeo",653,"Germany","Male","58",1,132602.88,1,1,0,5097.67,1,2,"SILVER",163
"Henderson",549,"Spain","Female","24",9,0,2,1,1,14406.41,0,3,"SILVER",544
"Muldrow",587,"Spain","Male","45",6,0,1,0,0,158684.81,0,3,"PLATINUM",732
"Hao",726,"France","Female","24",6,0,2,1,1,54724.03,0,4,"GOLD",477
"McDonald",732,"France","Male","41",8,0,2,1,1,170886.17,0,3,"PLATINUM",568
"Dellucci",636,"Spain","Female","32",8,0,2,1,0,138555.46,0,2,"DIAMOND",336
"Gerasimov",510,"Spain","Female",NA,4,0,1,1,0,118913.53,1,2,"DIAMOND",887
"Mosman",669,"France","Male","46",3,0,2,0,1,8487.75,0,2,"SILVER",665
"Yen",846,"France","Female","38",5,0,1,1,1,187616.16,0,3,"PLATINUM",225
"Maclean",577,"France","Male","-",3,0,2,0,1,124508.29,0,3,"PLATINUM",659
"Young",756,"Germany","Male","36",2,136815.64,1,1,1,170041.95,0,5,"DIAMOND",236
"Nebechi",571,"France","Male","44",9,0,2,0,0,38433.35,0,4,"PLATINUM",448
"McWilliams",574,"Germany","Female","43",3,141349.43,1,1,1,100187.43,0,5,"DIAMOND",499
"Lucciano",411,"France","Male","29",0,59697.17,2,1,1,53483.21,0,2,"GOLD",343
"Azikiwe",591,"Spain","Female","39",3,0,3,1,0,140469.38,1,3,"DIAMOND",298
"Odinakachukwu",533,"France","Male","36",7,85311.7,1,0,1,156731.91,0,5,"SILVER",628
"Sanderson",553,"Germany","Male","41",9,110112.54,2,0,0,81898.81,0,3,"GOLD",611
"Maggard",520,"Spain","Female","42",6,0,2,1,1,34410.55,0,2,"SILVER",922
"Clements",722,"Spain","Female","29",9,0,2,1,1,142033.07,0,5,"PLATINUM",276
"Lombardo",475,"France","Female","45",0,134264.04,1,1,0,27822.99,1,1,"DIAMOND",877
"Watson",490,"Spain","Male","31",3,145260.23,1,0,1,114066.77,0,4,"SILVER",471
